id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
lab,9.33,2912909196,-17.15227,27.3,0.074235,2026-06-06_12-02
pieverse,0.614765,165832835,-16.44856,1.65,0.119363,2026-06-06_12-02
plasma,0.065303,171484051,-14.59921,1.68,0.060918,2026-06-06_12-02
arweave,1.85,121162078,-13.65366,89.24,0.298788,2026-06-06_12-02
memecore,2.85,3725564389,-13.55609,4.82,0.04746135,2026-06-06_12-02
trust-wallet-token,0.36375,151557151,-13.11099,2.72,0.00277641,2026-06-06_12-02
circle-internet-group-ondo-tokenized-stock,78.4,110737184,-12.42269,158.37,47.99,2026-06-06_12-02
stable-2,0.03166424,739101329,-11.90524,0.04267238,0.0092214,2026-06-06_12-02
worldcoin-wld,0.461019,1553441814,-10.94051,11.74,0.230306,2026-06-06_12-02
filecoin,0.711175,560316874,-10.51992,236.84,0.677565,2026-06-06_12-02
