id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
skyai,0.274153,274980645,37.01298,0.854253,0.01433298,2026-06-07_11-00
ethgas-2,0.13665,286329557,33.70102,0.16166,0.01667836,2026-06-07_11-00
lab,13.1,4093700700,29.24588,27.3,0.074235,2026-06-07_11-00
bianrensheng,0.827805,827805164,25.19243,0.857921,0.03843448,2026-06-07_11-00
humanity,0.706904,1292513208,21.62967,0.843867,0.01810273,2026-06-07_11-00
build-on,0.256227,255809879,15.86587,0.76352,0.082973,2026-06-07_11-00
terra-luna,6.724e-05,372091545,15.32292,119.18,9.99967e-07,2026-06-07_11-00
railgun,2.56,146899552,14.94299,5.66,0.228324,2026-06-07_11-00
the-open-network,1.72,4610953866,14.69225,8.25,0.519364,2026-06-07_11-00
zebec-network,0.00272464,266795476,13.51812,0.00700261,0.00069854,2026-06-07_11-00
